iter	RMSE
0	23.63650053
1	21.8902212
2	20.29896853
3	18.76465069
4	17.53306311
5	16.29712817
6	15.1337047
7	14.12591283
8	13.16937164
9	12.37738613
10	11.57425067
11	10.77662642
12	10.10355347
13	9.423486769
14	8.810318386
15	8.228052155
16	7.781002252
17	7.32358364
18	6.944682723
19	6.570413754
20	6.227057737
21	5.878275853
22	5.579744079
23	5.359642208
24	5.120321834
25	4.918647443
26	4.732083565
27	4.543323768
28	4.372604832
29	4.229260684
30	4.111695052
31	4.013537707
32	3.907365151
33	3.819292611
34	3.74109436
35	3.662546405
36	3.595023591
37	3.525564885
38	3.471044721
39	3.424059306
40	3.383888539
41	3.338556481
42	3.302511217
43	3.270310078
44	3.244267516
45	3.221154106
46	3.191312293
47	3.162713539
48	3.153613152
49	3.131820455
50	3.11356326
51	3.105799617
52	3.087997261
53	3.070489398
54	3.051978513
55	3.023029977
56	3.006304154
57	2.988012208
58	2.982812204
59	2.964664406
60	2.957629521
61	2.947951702
62	2.941014473
63	2.920763936
64	2.894828443
65	2.872565425
66	2.858088844
67	2.841066682
68	2.830621378
69	2.810359253
70	2.790551901
71	2.773088814
72	2.770378904
73	2.759007828
74	2.741666866
75	2.726916906
76	2.712616012
77	2.698491242
78	2.684626322
79	2.672405472
80	2.660165983
81	2.642889693
82	2.636348291
83	2.626013781
84	2.620246451
85	2.610191253
86	2.595875561
87	2.57685616
88	2.567871564
89	2.56444294
90	2.552477806
91	2.54012947
92	2.532167692
93	2.521334518
94	2.516754642
95	2.512445328
96	2.50350061
97	2.500400737
98	2.496825747
99	2.488498484
