iter	Passed	Remaining
0	4	484
1	6	326
2	10	354
3	15	373
4	21	404
5	22	349
6	22	299
7	26	306
8	30	310
9	32	291
10	36	297
11	40	300
12	42	284
13	44	270
14	45	258
15	46	243
16	50	246
17	55	253
18	60	259
19	66	264
20	72	271
21	77	273
22	77	259
23	83	263
24	83	251
25	88	253
26	89	241
27	94	243
28	100	245
29	102	238
30	103	229
31	108	231
32	113	230
33	115	224
34	116	217
35	121	216
36	126	214
37	132	216
38	137	215
39	143	215
40	144	207
41	149	206
42	151	200
43	156	199
44	157	192
45	163	191
46	168	189
47	174	188
48	174	181
49	181	181
50	188	180
51	188	173
52	194	172
53	195	166
54	201	164
55	207	162
56	208	157
57	213	154
58	214	148
59	219	146
60	219	140
61	221	135
62	222	130
63	227	127
64	233	125
65	238	122
66	243	120
67	249	117
68	250	112
69	255	109
70	257	105
71	261	101
72	261	96
73	266	93
74	270	90
75	275	87
76	280	83
77	284	80
78	290	77
79	294	73
80	300	70
81	304	66
82	309	63
83	313	59
84	318	56
85	324	52
86	329	49
87	334	45
88	339	41
89	343	38
90	349	34
91	354	30
92	360	27
93	367	23
94	373	19
95	378	15
96	383	11
97	389	7
98	394	3
99	399	0
