iter	RMSE
0	18.24884864
1	17.04364243
2	15.88248016
3	14.72455162
4	13.80345629
5	12.8939592
6	12.01881496
7	11.16559925
8	10.43913966
9	9.727063276
10	9.084376879
11	8.558762743
12	8.068627628
13	7.573214514
14	7.10067407
15	6.724857194
16	6.34759653
17	6.009771363
18	5.693550494
19	5.405367792
20	5.152143819
21	4.931217601
22	4.751282575
23	4.579938368
24	4.401364325
25	4.237628188
26	4.075435342
27	3.911534174
28	3.812569423
29	3.707350078
30	3.585253375
31	3.485740248
32	3.357467142
33	3.272200042
34	3.166246427
35	3.080145201
36	3.000584724
37	2.907489437
38	2.831527091
39	2.767297578
40	2.718030191
41	2.67784415
42	2.613255869
43	2.554683847
44	2.505664671
45	2.443563355
46	2.388278898
47	2.343137097
48	2.294216023
49	2.247645722
50	2.185906564
51	2.14815358
52	2.102140595
53	2.072539667
54	2.021222004
55	1.984431182
56	1.936850721
57	1.892317324
58	1.85216557
59	1.826669813
60	1.79344251
61	1.758052207
62	1.736943354
63	1.704113208
64	1.676552019
65	1.640437503
66	1.609017902
67	1.575129708
68	1.559416697
69	1.540149418
70	1.527875714
71	1.500753656
72	1.487234158
73	1.464642912
74	1.420729903
75	1.40573861
76	1.390403923
77	1.377084302
78	1.341985389
79	1.325555249
80	1.312203104
81	1.296475677
82	1.276296467
83	1.263896279
84	1.226088168
85	1.19122508
86	1.164083721
87	1.155071011
88	1.137546069
89	1.128656846
90	1.096821907
91	1.090296189
92	1.081525654
93	1.057271499
94	1.049065678
95	1.040434133
96	1.032162958
97	1.024325188
98	1.016388413
99	1.001971203
