Num_Resolucion,Fecha_Resolucion,Año,Cod_Territorio,Nom_Territorio,Laboratorio_Vacuna,Cantidad,Uso_vacuna,Modificacion Res 2270-2022,fecha_corte
195,2021/02/22,2021,18.0,CAQUETA,SINOVAC,1024.0,Talento humano en salud primera etapa,Modificación Res 2270-2022,2023/02/28
195,2021/02/22,2021,18.0,CAQUETA,SINOVAC,439.0,Mayores o iguales a 80 años,Modificación Res 2270-2022,2023/02/28
205,2021/02/24,2021,18.0,CAQUETA,PFIZER,306.0,Talento humano en salud primera etapa,Modificación Res 2270-2022,2023/02/28
267,2021/03/01,2021,18.0,CAQUETA,PFIZER,738.0,Talento humano en salud primera etapa,Modificación Res 2270-2022,2023/02/28
302,2021/03/06,2021,18.0,CAQUETA,SINOVAC,4885.0,Mayores o iguales a 80 años,Modificación Res 2270-2022,2023/02/28
330,2021/03/15,2021,18.0,CAQUETA,PFIZER,312.0,Talento humano en salud primera etapa,Modificación Res 2270-2022,2023/02/28
333,2021/03/15,2021,18.0,CAQUETA,PFIZER,306.0,Segunda dosis de la Resolución 205 2021,Modificación Res 2270-2022,2023/02/28
342,2021/03/16,2021,18.0,CAQUETA,SINOVAC,339.0,Talento humano en salud Segunda etapa,Modificación Res 2270-2022,2023/02/28
342,2021/03/16,2021,18.0,CAQUETA,SINOVAC,1463.0,Segundas dosis,Modificación Res 2270-2022,2023/02/28
361,2021/03/21,2021,18.0,CAQUETA,SINOVAC,2005.0,75 a 79 años,Modificación Res 2270-2022,2023/02/28
364,2021/03/23,2021,18.0,CAQUETA,SINOVAC,2584.0,70 a 79 años,Modificación Res 2270-2022,2023/02/28
398,2021/03/25,2021,18.0,CAQUETA,PFIZER,738.0,Segunda dosis de la Resolución  267,Modificación Res 2270-2022,2023/02/28
398,2021/03/25,2021,18.0,CAQUETA,PFIZER,312.0,Segunda dosis de la Resolución 294-330,Modificación Res 2270-2022,2023/02/28
400,2021/03/25,2021,18.0,CAQUETA,ASTRAZENECA,740.0,Talento humano en salud primera etapa,Modificación Res 2270-2022,2023/02/28
400,2021/03/25,2021,18.0,CAQUETA,ASTRAZENECA,1090.0,Talento humano en salud Segunda etapa,Modificación Res 2270-2022,2023/02/28
413,2021/03/29,2021,18.0,CAQUETA,SINOVAC,829.0,Segunda dosis de la Resolución Segundas 302,Modificación Res 2270-2022,2023/02/28
432,2021/03/31,2021,18.0,CAQUETA,PFIZER,1170.0,Talento humano en salud primera etapa 1 y 2,Modificación Res 2270-2022,2023/02/28
437,2021/04/05,2021,18.0,CAQUETA,PFIZER,1170.0,70 a 79 años,Modificación Res 2270-2022,2023/02/28
437,2021/04/05,2021,18.0,CAQUETA,PFIZER,1170.0,Talento Humano en Salud,Modificación Res 2270-2022,2023/02/28
461,2021/04/09,2021,18.0,CAQUETA,PFIZER,1170.0,70 a 79 años,Modificación Res 2270-2022,2023/02/28
462,2021/04/12,2021,18.0,CAQUETA,SINOVAC,3799.0,Segunda dosis de la Resolución Segundas 302,Modificación Res 2270-2022,2023/02/28
475,2021/04/13,2021,18.0,CAQUETA,PFIZER,1170.0,Segunda dosis Talento Humano Salud de la Resolución Segundas 432,Modificación Res 2270-2022,2023/02/28
475,2021/04/13,2021,18.0,CAQUETA,PFIZER,2340.0,Primera dosis 65 a 59 años,Modificación Res 2270-2022,2023/02/28
517,2021/04/21,2021,18.0,CAQUETA,PFIZER,2340.0,Segunda dosis de la Resolución 437,Modificación Res 2270-2022,2023/02/28
517,2021/04/21,2021,18.0,CAQUETA,PFIZER,1170.0,Mayores de 65 años,Modificación Res 2270-2022,2023/02/28
543,2021/04/25,2021,18.0,CAQUETA,ASTRAZENECA,5480.0,Mayores de 65 años,Modificación Res 2270-2022,2023/02/28
555,2021/04/27,2021,18.0,CAQUETA,SINOVAC,5356.0,"Segundas dosis de Resoluciones 302, 342, 361 y 364",Modificación Res 2270-2022,2023/02/28
555,2021/04/27,2021,18.0,CAQUETA,SINOVAC,677.0,"Segundas dosis de Resoluciones 302, 342, 361 y 364",Modificación Res 2270-2022,2023/02/28
557,2021/04/29,2021,18.0,CAQUETA,PFIZER,1170.0,Segundas dosis de la Resolución 461,Modificación Res 2270-2022,2023/02/28
