Num_Resolucion,Fecha_Resolucion,Año,Cod_Territorio,Nom_Territorio,Laboratorio_Vacuna,Cantidad,Uso_vacuna,Modificacion Res 2270-2022,fecha_corte
168,2021/02/16,2021,5.0,ANTIOQUIA,PFIZER,6570.0,Talento humano en salud primera etapa,Modificación Res 2270-2022,2023/02/28
168,2021/02/16,2021,8.0,ATLANTICO,PFIZER,564.0,Talento humano en salud primera etapa,Modificación Res 2270-2022,2023/02/28
168,2021/02/16,2021,8001.0,BARRANQUILLA,PFIZER,2556.0,Talento humano en salud primera etapa,Modificación Res 2270-2022,2023/02/28
168,2021/02/16,2021,11.0,BOGOTA D.C.,PFIZER,12582.0,Talento humano en salud primera etapa,Modificación Res 2270-2022,2023/02/28
168,2021/02/16,2021,13001.0,CARTAGENA,PFIZER,1260.0,Talento humano en salud primera etapa,Modificación Res 2270-2022,2023/02/28
168,2021/02/16,2021,15.0,BOYACA,PFIZER,1074.0,Talento humano en salud primera etapa,Modificación Res 2270-2022,2023/02/28
168,2021/02/16,2021,17.0,CALDAS,PFIZER,990.0,Talento humano en salud primera etapa,Modificación Res 2270-2022,2023/02/28
168,2021/02/16,2021,18.0,CAQUETA,PFIZER,270.0,Talento humano en salud primera etapa,Modificación Res 2270-2022,2023/02/28
168,2021/02/16,2021,19.0,CAUCA,PFIZER,666.0,Talento humano en salud primera etapa,Modificación Res 2270-2022,2023/02/28
168,2021/02/16,2021,20.0,CESAR,PFIZER,1050.0,Talento humano en salud primera etapa,Modificación Res 2270-2022,2023/02/28
168,2021/02/16,2021,23.0,CORDOBA,PFIZER,1332.0,Talento humano en salud primera etapa,Modificación Res 2270-2022,2023/02/28
168,2021/02/16,2021,25.0,CUNDINAMARCA,PFIZER,1770.0,Talento humano en salud primera etapa,Modificación Res 2270-2022,2023/02/28
168,2021/02/16,2021,41.0,HUILA,PFIZER,1494.0,Talento humano en salud primera etapa,Modificación Res 2270-2022,2023/02/28
168,2021/02/16,2021,44.0,LA_GUAJIRA,PFIZER,450.0,Talento humano en salud primera etapa,Modificación Res 2270-2022,2023/02/28
168,2021/02/16,2021,47001.0,SANTA MARTA,PFIZER,720.0,Talento humano en salud primera etapa,Modificación Res 2270-2022,2023/02/28
168,2021/02/16,2021,50.0,META,PFIZER,960.0,Talento humano en salud primera etapa,Modificación Res 2270-2022,2023/02/28
168,2021/02/16,2021,52.0,NARIÑO,PFIZER,1776.0,Talento humano en salud primera etapa,Modificación Res 2270-2022,2023/02/28
168,2021/02/16,2021,54.0,NORTE DE SANTANDER,PFIZER,1356.0,Talento humano en salud primera etapa,Modificación Res 2270-2022,2023/02/28
168,2021/02/16,2021,63.0,QUINDIO,PFIZER,540.0,Talento humano en salud primera etapa,Modificación Res 2270-2022,2023/02/28
168,2021/02/16,2021,66.0,RISARALDA,PFIZER,912.0,Talento humano en salud primera etapa,Modificación Res 2270-2022,2023/02/28
168,2021/02/16,2021,68.0,SANTANDER,PFIZER,2388.0,Talento humano en salud primera etapa,Modificación Res 2270-2022,2023/02/28
168,2021/02/16,2021,70.0,SUCRE,PFIZER,696.0,Talento humano en salud primera etapa,Modificación Res 2270-2022,2023/02/28
168,2021/02/16,2021,73.0,TOLIMA,PFIZER,1344.0,Talento humano en salud primera etapa,Modificación Res 2270-2022,2023/02/28
168,2021/02/16,2021,76.0,VALLE_DEL_CAUCA,PFIZER,5184.0,Talento humano en salud primera etapa,Modificación Res 2270-2022,2023/02/28
195,2021/02/22,2021,91.0,AMAZONAS,SINOVAC,22741.0,Territorio Unificado,Modificación Res 2270-2022,2023/02/28
195,2021/02/22,2021,94.0,GUAINIA,SINOVAC,12402.0,Territorio Unificado,Modificación Res 2270-2022,2023/02/28
195,2021/02/22,2021,97.0,VAUPES,SINOVAC,5212.0,Territorio Unificado,Modificación Res 2270-2022,2023/02/28
195,2021/02/22,2021,5.0,ANTIOQUIA,SINOVAC,10061.0,Talento humano en salud primera etapa,Modificación Res 2270-2022,2023/02/28
195,2021/02/22,2021,81.0,ARAUCA,SINOVAC,573.0,Talento humano en salud primera etapa,Modificación Res 2270-2022,2023/02/28
195,2021/02/22,2021,8.0,ATLANTICO,SINOVAC,1275.0,Talento humano en salud primera etapa,Modificación Res 2270-2022,2023/02/28
195,2021/02/22,2021,13.0,BOLIVAR,SINOVAC,1961.0,Talento humano en salud primera etapa,Modificación Res 2270-2022,2023/02/28
195,2021/02/22,2021,15.0,BOYACA,SINOVAC,4204.0,Talento humano en salud primera etapa,Modificación Res 2270-2022,2023/02/28
195,2021/02/22,2021,17.0,CALDAS,SINOVAC,1504.0,Talento humano en salud primera etapa,Modificación Res 2270-2022,2023/02/28
195,2021/02/22,2021,18.0,CAQUETA,SINOVAC,1024.0,Talento humano en salud primera etapa,Modificación Res 2270-2022,2023/02/28
195,2021/02/22,2021,85.0,CASANARE,SINOVAC,1274.0,Talento humano en salud primera etapa,Modificación Res 2270-2022,2023/02/28
195,2021/02/22,2021,19.0,CAUCA,SINOVAC,2976.0,Talento humano en salud primera etapa,Modificación Res 2270-2022,2023/02/28
195,2021/02/22,2021,20.0,CESAR,SINOVAC,1348.0,Talento humano en salud primera etapa,Modificación Res 2270-2022,2023/02/28
195,2021/02/22,2021,23.0,CORDOBA,SINOVAC,2962.0,Talento humano en salud primera etapa,Modificación Res 2270-2022,2023/02/28
195,2021/02/22,2021,25.0,CUNDINAMARCA,SINOVAC,6144.0,Talento humano en salud primera etapa,Modificación Res 2270-2022,2023/02/28
195,2021/02/22,2021,95.0,GUAVIARE,SINOVAC,448.0,Talento humano en salud primera etapa,Modificación Res 2270-2022,2023/02/28
195,2021/02/22,2021,41.0,HUILA,SINOVAC,2751.0,Talento humano en salud primera etapa,Modificación Res 2270-2022,2023/02/28
195,2021/02/22,2021,44.0,LA_GUAJIRA,SINOVAC,2121.0,Talento humano en salud primera etapa,Modificación Res 2270-2022,2023/02/28
195,2021/02/22,2021,47.0,MAGDALENA,SINOVAC,1535.0,Talento humano en salud primera etapa,Modificación Res 2270-2022,2023/02/28
195,2021/02/22,2021,50.0,META,SINOVAC,2040.0,Talento humano en salud primera etapa,Modificación Res 2270-2022,2023/02/28
195,2021/02/22,2021,52.0,NARIÑO,SINOVAC,4113.0,Talento humano en salud primera etapa,Modificación Res 2270-2022,2023/02/28
195,2021/02/22,2021,54.0,NORTE DE SANTANDER,SINOVAC,2639.0,Talento humano en salud primera etapa,Modificación Res 2270-2022,2023/02/28
195,2021/02/22,2021,86.0,PUTUMAYO,SINOVAC,685.0,Talento humano en salud primera etapa,Modificación Res 2270-2022,2023/02/28
195,2021/02/22,2021,63.0,QUINDIO,SINOVAC,710.0,Talento humano en salud primera etapa,Modificación Res 2270-2022,2023/02/28
195,2021/02/22,2021,66.0,RISARALDA,SINOVAC,320.0,Talento humano en salud primera etapa,Modificación Res 2270-2022,2023/02/28
195,2021/02/22,2021,68.0,SANTANDER,SINOVAC,3056.0,Talento humano en salud primera etapa,Modificación Res 2270-2022,2023/02/28
195,2021/02/22,2021,70.0,SUCRE,SINOVAC,1785.0,Talento humano en salud primera etapa,Modificación Res 2270-2022,2023/02/28
195,2021/02/22,2021,73.0,TOLIMA,SINOVAC,3061.0,Talento humano en salud primera etapa,Modificación Res 2270-2022,2023/02/28
195,2021/02/22,2021,76.0,VALLE_DEL_CAUCA,SINOVAC,8042.0,Talento humano en salud primera etapa,Modificación Res 2270-2022,2023/02/28
195,2021/02/22,2021,5.0,ANTIOQUIA,SINOVAC,11106.0,Mayores o iguales a 80 años,Modificación Res 2270-2022,2023/02/28
195,2021/02/22,2021,81.0,ARAUCA,SINOVAC,309.0,Mayores o iguales a 80 años,Modificación Res 2270-2022,2023/02/28
195,2021/02/22,2021,8.0,ATLANTICO,SINOVAC,1667.0,Mayores o iguales a 80 años,Modificación Res 2270-2022,2023/02/28
195,2021/02/22,2021,8001.0,BARRANQUILLA,SINOVAC,2831.0,Mayores o iguales a 80 años,Modificación Res 2270-2022,2023/02/28
195,2021/02/22,2021,11.0,BOGOTA D.C.,SINOVAC,12026.0,Mayores o iguales a 80 años,Modificación Res 2270-2022,2023/02/28
195,2021/02/22,2021,13.0,BOLIVAR,SINOVAC,2078.0,Mayores o iguales a 80 años,Modificación Res 2270-2022,2023/02/28
195,2021/02/22,2021,13001.0,CARTAGENA,SINOVAC,1666.0,Mayores o iguales a 80 años,Modificación Res 2270-2022,2023/02/28
195,2021/02/22,2021,15.0,BOYACA,SINOVAC,2442.0,Mayores o iguales a 80 años,Modificación Res 2270-2022,2023/02/28
195,2021/02/22,2021,17.0,CALDAS,SINOVAC,1993.0,Mayores o iguales a 80 años,Modificación Res 2270-2022,2023/02/28
195,2021/02/22,2021,18.0,CAQUETA,SINOVAC,439.0,Mayores o iguales a 80 años,Modificación Res 2270-2022,2023/02/28
195,2021/02/22,2021,85.0,CASANARE,SINOVAC,391.0,Mayores o iguales a 80 años,Modificación Res 2270-2022,2023/02/28
195,2021/02/22,2021,19.0,CAUCA,SINOVAC,2374.0,Mayores o iguales a 80 años,Modificación Res 2270-2022,2023/02/28
195,2021/02/22,2021,20.0,CESAR,SINOVAC,1575.0,Mayores o iguales a 80 años,Modificación Res 2270-2022,2023/02/28
195,2021/02/22,2021,27.0,CHOCO,SINOVAC,742.0,Mayores o iguales a 80 años,Modificación Res 2270-2022,2023/02/28
195,2021/02/22,2021,23.0,CORDOBA,SINOVAC,3281.0,Mayores o iguales a 80 años,Modificación Res 2270-2022,2023/02/28
195,2021/02/22,2021,25.0,CUNDINAMARCA,SINOVAC,4063.0,Mayores o iguales a 80 años,Modificación Res 2270-2022,2023/02/28
195,2021/02/22,2021,41.0,HUILA,SINOVAC,1675.0,Mayores o iguales a 80 años,Modificación Res 2270-2022,2023/02/28
195,2021/02/22,2021,44.0,LA_GUAJIRA,SINOVAC,1272.0,Mayores o iguales a 80 años,Modificación Res 2270-2022,2023/02/28
195,2021/02/22,2021,47.0,MAGDALENA,SINOVAC,1355.0,Mayores o iguales a 80 años,Modificación Res 2270-2022,2023/02/28
195,2021/02/22,2021,47001.0,SANTA MARTA,SINOVAC,730.0,Mayores o iguales a 80 años,Modificación Res 2270-2022,2023/02/28
195,2021/02/22,2021,50.0,META,SINOVAC,1200.0,Mayores o iguales a 80 años,Modificación Res 2270-2022,2023/02/28
195,2021/02/22,2021,52.0,NARIÑO,SINOVAC,2963.0,Mayores o iguales a 80 años,Modificación Res 2270-2022,2023/02/28
